অক্ত,বিশেষণ
অক্ষর,বিশেষণ
অঁকোল,বিশেষ্য
অংগুস্তানা,বিশেষ্য
অংরাখা,বিশেষ্য
অংশ,বিশেষ্য
অংশী,বিশেষণ
অংশু,বিশেষ্য
অংশুমালী,বিশেষ্য
অংশ্যমান,বিশেষণ
অংস,বিশেষ্য
অংহ,বিশেষ্য
অই,
অইছন,
অইছে,
অইরান,বিশেষণ
অউপকারী,বিশেষ্য
অঋণ,বিশেষ্য
অঋণী,বিশেষণ
অওরত,
অওসৎ,
অক,বিশেষ্য
অক,বিশেষ্য
অকখর,বিশেষ্য
অকচ,বিশেষণ
অকটবিকট,বিশেষ্য
অকটু,বিশেষণ
অকঠোর,বিশেষণ
অকথন,বিশেষণ
অকথা,বিশেষ্য
অকথিত,বিশেষণ
অকথ্য,বিশেষণ
অকনিষ্ঠ,বিশেষণ
অকনিষ্ঠ,বিশেষ্য
অকন্টক,বিশেষণ
অকন্টকে,ক্রিয়াবিশেষণ
অকপট,বিশেষণ
অকফ,
অকবজ,বিশেষণ
অকবি,বিশেষ্য
অকমনীয়,বিশেষণ
অকম্প,বিশেষণ
অকর,বিশেষণ
অকরণ,বিশেষ্য
অকরোটি,বিশেষ্য
অকর্কশ,বিশেষণ
অকর্ণ,বিশেষণ
অকর্তব্য,বিশেষণ
অকর্তা,বিশেষ্য
অকর্ম,বিশেষ্য
অকর্মা,বিশেষণ
অকর্মিষ্ঠ,বিশেষ্য
অকল,
অকলঙ্ক,বিশেষণ
অকলঙ্কিত,বিশেষণ
অকলমন্দ,
অকলুষ,বিশেষণ
অকল্ক,বিশেষণ
অকল্পনা,বিশেষ্য
অকল্পনীয়,বিশেষণ
অকল্মষ,বিশেষণ
অকল্যাণ,বিশেষ্য
অকষ্ট,বিশেষণ
অকসর,
অকস্মাৎ,অব্যয়
অকাজ,বিশেষ্য
অকাট,বিশেষণ
অকাট্য,বিশেষণ
অকাট্য,
অকাঠা,বিশেষ্য
অকাণ্ড,বিশেষণ
অকাতর,বিশেষণ
অকাপট্য,বিশেষ্য
অকাম,বিশেষণ
অকাম,
অকামিক,অব্যয়
অকাম্য,
অকার,বিশেষ্য
অকারণ,বিশেষণ
অকারত,বিশেষণ
অকার্য,বিশেষ্য
অকাল,বিশেষ্য
অকালী,
অকাল্পনিক,বিশেষণ
অকায়,বিশেষণ
অকিঞ্চন,বিশেষণ
অকিঞ্চিৎ,বিশেষণ
অকীর্তি,বিশেষ্য
অকু,বিশেষ্য
অকুটিল,বিশেষণ
অকুতোভয়,বিশেষণ
অকুন্ঠ,বিশেষণ
অকুফ,বিশেষ্য
অকুমার,বিশেষ্য
অকুমারী,বিশেষ্য
অকুল,বিশেষ্য
অকুলন,বিশেষ্য
অকুলীন,বিশেষণ
অকুশল,বিশেষ্য
অকুস্থল,
অকূল,বিশেষণ
অকৃত,বিশেষণ
অকৃতঘ্ন,বিশেষণ
অকৃতজ্ঞ,বিশেষণ
অকৃতাত্মা,বিশেষ্য
অকৃতাদর,বিশেষণ
অকৃতাপরাধ,বিশেষণ
অকৃতার্থ,বিশেষণ
অকৃতিত্ব,বিশেষ্য
অকৃতী,বিশেষণ
অকৃতোদ্বাহ,বিশেষণ
অকৃত্য,বিশেষণ
অকৃত্রিম,বিশেষণ
অকৃপ,বিশেষণ
অকৃপণ,বিশেষণ
অকৃষ্ট,বিশেষণ
অকৃষ্ণ,বিশেষণ
অকেজো,বিশেষণ
অকেলাস,বিশেষণ
অকৈতব,বিশেষণ
অকোপ,বিশেষ্য
অকোবিদ,বিশেষণ
অকৌশল,বিশেষ্য
অক্কা,বিশেষ্য
অক্টোপাস,বিশেষ্য
অক্টোবর,বিশেষ্য
অক্ত,
অক্রম,বিশেষণ
অক্রিয়,বিশেষণ
অক্রিয়া,বিশেষ্য
অক্রীত,বিশেষণ
অক্রুদ্ধ,বিশেষণ
অক্রূর,বিশেষণ
অক্রেয়,বিশেষণ
অক্রোধ,বিশেষ্য
অক্লান্ত,বিশেষণ
অক্লিষ্ট,বিশেষণ
অক্লীব,বিশেষণ
অক্লেশ,বিশেষ্য
অক্ষ,বিশেষ্য
অক্ষটি,
অক্ষত,বিশেষণ
অক্ষম,বিশেষণ
অক্ষমা,
অক্ষমা,বিশেষ্য
অক্ষর,বিশেষণ
অক্ষাংশ,বিশেষ্য
অক্ষার,বিশেষ্য
অক্ষি,বিশেষ্য
অক্ষিণ্ন,বিশেষণ
অক্ষুণ্ন,বিশেষণ
অক্ষুব্ধ,বিশেষণ
অক্ষেমা,বিশেষ্য
অক্ষোভ,বিশেষণ
অক্ষোভ্য,বিশেষণ
অক্ষৌহিণী,বিশেষ্য
অক্ষয়,বিশেষণ
অক্সিজেন,বিশেষ্য
অক্সিডেশন,বিশেষ্য
অখণ্ড,বিশেষণ
অখণ্ডিত,বিশেষণ
অখন,অব্যয়
অখর্ব,বিশেষণ
অখল,বিশেষণ
অখাত,বিশেষণ
অখাদ্য,বিশেষণ
অখিণ্ন,বিশেষণ
অখিদ্য,বিশেষণ
অখিল,বিশেষণ
অখুশি,বিশেষ্য
অখেদ,বিশেষণ
অখ্যাত,বিশেষণ
অখ্যাতনামা,বিশেষণ
অখ্যাতি,বিশেষ্য
অগচ্ছিত,বিশেষণ
অগঠন,বিশেষণ
অগণন,বিশেষণ
অগণনীয়,বিশেষণ
অগণ্য,বিশেষণ
অগতি,বিশেষ্য
অগত্যা,ক্রিয়াবিশেষণ
অগদ,বিশেষ্য
অগন্তব্য,বিশেষণ
অগভীর,বিশেষণ
অগম,বিশেষণ
অগম্য,বিশেষণ
অগর্হিত,বিশেষণ
অগস্ত্য,বিশেষ্য
অগা,বিশেষণ
অগাধ,বিশেষণ
অগীত,বিশেষণ
অগুন,বিশেষ্য
অগুনতি,বিশেষণ
অগুরু,বিশেষ্য
অগুরু,বিশেষণ
অগুয়ান,
অগো,অব্যয়
অগোচর,বিশেষণ
অগোছালো,বিশেষণ
অগোপন,বিশেষ্য
অগোর,বিশেষণ
অগৌণ,বিশেষ্য
অগৌর,
অগৌর,বিশেষণ
অগৌরব,বিশেষ্য
অগ্নি,বিশেষ্য
অগ্নুৎসব,বিশেষ্য
অগ্ন্যস্ত্র,
অগ্ন্যুদ্‌গম,বিশেষ্য
অগ্ন্যুৎপাত,বিশেষ্য
অগ্র,বিশেষণ
অগ্রহণীয়,বিশেষণ
অগ্রহায়ণ,বিশেষ্য
অগ্রাধিকার,বিশেষ্য
অগ্রাহ্য,বিশেষ্য
অগ্রিম,বিশেষণ
অগ্রিয়,বিশেষণ
অগ্রে,ক্রিয়াবিশেষণ
অগ্র্য,বিশেষণ
অগড়-বগড়,
অগড়ম-বগড়ম,
অঘ,বিশেষ্য
অঘটন,বিশেষ্য
অঘর,বিশেষ্য
অঘা,
অঘাট,
অঘৃণ্য,বিশেষণ
অঘোর,বিশেষণ
অঘোর,বিশেষণ
অঘোষ,বিশেষণ
অঘ্রাত,
অঘ্রান,
অঙ্ক,বিশেষ্য
অঙ্কন,বিশেষ্য
অঙ্কারূঢ়,বিশেষণ
অঙ্কিত,
অঙ্কুট,বিশেষ্য
অঙ্কুর,বিশেষ্য
অঙ্কুশ,বিশেষ্য
অঙ্কোপরি,অব্যয়
অঙ্গ,বিশেষ্য
অঙ্গদ,বিশেষ্য
অঙ্গন,বিশেষ্য
অঙ্গনা,বিশেষ্য
অঙ্গবিকৃতি,বিশেষ্য
অঙ্গাঙ্গী,বিশেষণ
